"module","order","target","stable_id","atlas","confirmed_relative","source_relative","rule","status"
"20-week-actions","011","校外兼职","pxui_action_011","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/20-week-actions/011_校外兼职__UIATLAS_004_011_pxui_action_011_工牌零.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_011_pxui_action_011_工牌零.png","本周行动入口：基础周行动、外包/兼职入口和专属技能入口。","confirmed"
"20-week-actions","012","专属技能","pxui_action_012","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/20-week-actions/012_专属技能__UIATLAS_004_012_pxui_action_012_发光技.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_012_pxui_action_012_发光技.png","本周行动入口：基础周行动、外包/兼职入口和专属技能入口。","confirmed"
"21-outsourcing-project-options","013","钢笔、马克笔代画","pxui_action_013","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/21-outsourcing-project-options/013_钢笔、马克笔代画__UIATLAS_004_013_pxui_action_013_钢笔.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_013_pxui_action_013_钢笔.png","接设计外包的项目选项，进入外包项目选择弹窗后使用。","confirmed"
"21-outsourcing-project-options","014","描CAD底图","pxui_action_014","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/21-outsourcing-project-options/014_描CAD底图__UIATLAS_004_014_pxui_action_014_制图软.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_014_pxui_action_014_制图软.png","接设计外包的项目选项，进入外包项目选择弹窗后使用。","confirmed"
"21-outsourcing-project-options","015","手工模型代做","pxui_action_015","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/21-outsourcing-project-options/015_手工模型代做__UIATLAS_004_015_pxui_action_015_模型.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_015_pxui_action_015_模型.png","接设计外包的项目选项，进入外包项目选择弹窗后使用。","confirmed"
"21-outsourcing-project-options","016","SU拉体块【简单】","pxui_action_016","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/21-outsourcing-project-options/016_SU拉体块【简单】__UIATLAS_004_016_pxui_action_016_体块建.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_016_pxui_action_016_体块建.png","接设计外包的项目选项，进入外包项目选择弹窗后使用。","confirmed"
"21-outsourcing-project-options","017","效果图渲染","pxui_action_017","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/21-outsourcing-project-options/017_效果图渲染__UIATLAS_004_017_pxui_action_017_太阳.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_017_pxui_action_017_太阳.png","接设计外包的项目选项，进入外包项目选择弹窗后使用。","confirmed"
"21-outsourcing-project-options","018","Rhino曲面建模【精细】","pxui_action_018","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/21-outsourcing-project-options/018_Rhino曲面建模【精细】__UIATLAS_004_018_pxui_action_018_曲面网.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_018_pxui_action_018_曲面网.png","接设计外包的项目选项，进入外包项目选择弹窗后使用。","confirmed"
"21-outsourcing-project-options","019","一条龙方案代工","pxui_action_019","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/21-outsourcing-project-options/019_一条龙方案代工__UIATLAS_004_019_pxui_action_019_图纸.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_019_pxui_action_019_图纸.png","接设计外包的项目选项，进入外包项目选择弹窗后使用。","confirmed"
"22-part-time-project-options","020","发传单","pxui_action_020","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/22-part-time-project-options/020_发传单__UIATLAS_004_020_pxui_action_020_箭头.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_020_pxui_action_020_箭头.png","校外兼职的项目选项，位于外包选项之后、评图策略之前。","confirmed"
"22-part-time-project-options","021","图书馆管理员","pxui_action_021","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/22-part-time-project-options/021_图书馆管理员__UIATLAS_004_021_pxui_action_021_书.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_021_pxui_action_021_书.png","校外兼职的项目选项，位于外包选项之后、评图策略之前。","confirmed"
"22-part-time-project-options","022","外卖小哥","pxui_action_022","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/22-part-time-project-options/022_外卖小哥__UIATLAS_004_022_pxui_action_022_外卖箱.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_022_pxui_action_022_外卖箱.png","校外兼职的项目选项，位于外包选项之后、评图策略之前。","confirmed"
"22-part-time-project-options","023","家教","pxui_action_023","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/22-part-time-project-options/023_家教__UIATLAS_004_023_pxui_action_023_黑板.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_023_pxui_action_023_黑板.png","校外兼职的项目选项，位于外包选项之后、评图策略之前。","confirmed"
"23-review-report-strategies","024","我就是大师","pxui_action_024","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/23-review-report-strategies/024_我就是大师__UIATLAS_004_024_pxui_action_024_聚光灯.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_024_pxui_action_024_聚光灯.png","评图阶段汇报策略按钮。","confirmed"
"23-review-report-strategies","025","高级技术流","pxui_action_025","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/23-review-report-strategies/025_高级技术流__UIATLAS_004_025_pxui_action_025_参数节.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_025_pxui_action_025_参数节.png","评图阶段汇报策略按钮。","confirmed"
"23-review-report-strategies","026","求求你别挂我","pxui_action_026","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/23-review-report-strategies/026_求求你别挂我__UIATLAS_004_026_pxui_action_026_双手合.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_026_pxui_action_026_双手合.png","评图阶段汇报策略按钮。","confirmed"
"23-review-report-strategies","027","直接念 PPT","pxui_action_027","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/23-review-report-strategies/027_直接念 PPT__UIATLAS_004_027_pxui_action_027_箭头.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_027_pxui_action_027_箭头.png","评图阶段汇报策略按钮。","confirmed"
"24-model-week-materials","028","手工切割","pxui_action_028","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/24-model-week-materials/028_手工切割__UIATLAS_004_028_pxui_action_028_美工刀.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_028_pxui_action_028_美工刀.png","模型周材料/工艺购买选项。","confirmed"
"24-model-week-materials","029","激光切割","pxui_action_029","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/24-model-week-materials/029_激光切割__UIATLAS_004_029_pxui_action_029_激光头.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_029_pxui_action_029_激光头.png","模型周材料/工艺购买选项。","confirmed"
"24-model-week-materials","030","3D打印","pxui_action_030","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/24-model-week-materials/030_3D打印__UIATLAS_004_030_pxui_action_030_模型.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_030_pxui_action_030_模型.png","模型周材料/工艺购买选项。","confirmed"
"25-character-avatars","001","普通人","pxui_role_001","UIATLAS_005","asset-work/ui-icon-final/confirmed-icons/25-character-avatars/001_普通人__UIATLAS_005_001_pxui_role_001_图纸.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_005_角色与老师头像/UIATLAS_005_001_pxui_role_001_图纸.png","11 个玩家角色头像，只用于角色选择、角色卡和当前角色头像。","confirmed"
"25-character-avatars","002","混的入","pxui_role_002","UIATLAS_005","asset-work/ui-icon-final/confirmed-icons/25-character-avatars/002_混的入__UIATLAS_005_002_pxui_role_002_头像.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_005_角色与老师头像/UIATLAS_005_002_pxui_role_002_头像.png","11 个玩家角色头像，只用于角色选择、角色卡和当前角色头像。","confirmed"
"25-character-avatars","003","不吃压力之人","pxui_role_003","UIATLAS_005","asset-work/ui-icon-final/confirmed-icons/25-character-avatars/003_不吃压力之人__UIATLAS_005_003_pxui_role_003_图纸.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_005_角色与老师头像/UIATLAS_005_003_pxui_role_003_图纸.png","11 个玩家角色头像，只用于角色选择、角色卡和当前角色头像。","confirmed"
"25-character-avatars","004","设计赋能哥","pxui_role_004","UIATLAS_005","asset-work/ui-icon-final/confirmed-icons/25-character-avatars/004_设计赋能哥__UIATLAS_005_004_pxui_role_004_头像.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_005_角色与老师头像/UIATLAS_005_004_pxui_role_004_头像.png","11 个玩家角色头像，只用于角色选择、角色卡和当前角色头像。","confirmed"
"25-character-avatars","005","寒门贵子","pxui_role_005","UIATLAS_005","asset-work/ui-icon-final/confirmed-icons/25-character-avatars/005_寒门贵子__UIATLAS_005_005_pxui_role_005_书.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_005_角色与老师头像/UIATLAS_005_005_pxui_role_005_书.png","11 个玩家角色头像，只用于角色选择、角色卡和当前角色头像。","confirmed"
"25-character-avatars","006","吃满压力之人","pxui_role_006","UIATLAS_005","asset-work/ui-icon-final/confirmed-icons/25-character-avatars/006_吃满压力之人__UIATLAS_005_006_pxui_role_006_头像.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_005_角色与老师头像/UIATLAS_005_006_pxui_role_006_头像.png","11 个玩家角色头像，只用于角色选择、角色卡和当前角色头像。","confirmed"
"25-character-avatars","007","未来的老板","pxui_role_007","UIATLAS_005","asset-work/ui-icon-final/confirmed-icons/25-character-avatars/007_未来的老板__UIATLAS_005_007_pxui_role_007_头像.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_005_角色与老师头像/UIATLAS_005_007_pxui_role_007_头像.png","11 个玩家角色头像，只用于角色选择、角色卡和当前角色头像。","confirmed"
"25-character-avatars","008","投胎专家","pxui_role_008","UIATLAS_005","asset-work/ui-icon-final/confirmed-icons/25-character-avatars/008_投胎专家__UIATLAS_005_008_pxui_role_008_头像.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_005_角色与老师头像/UIATLAS_005_008_pxui_role_008_头像.png","11 个玩家角色头像，只用于角色选择、角色卡和当前角色头像。","confirmed"
"25-character-avatars","009","基因叛逆者","pxui_role_009","UIATLAS_005","asset-work/ui-icon-final/confirmed-icons/25-character-avatars/009_基因叛逆者__UIATLAS_005_009_pxui_role_009_头像.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_005_角色与老师头像/UIATLAS_005_009_pxui_role_009_头像.png","11 个玩家角色头像，只用于角色选择、角色卡和当前角色头像。","confirmed"
"25-character-avatars","010","小镇做题家","pxui_role_010","UIATLAS_005","asset-work/ui-icon-final/confirmed-icons/25-character-avatars/010_小镇做题家__UIATLAS_005_010_pxui_role_010_头像.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_005_角色与老师头像/UIATLAS_005_010_pxui_role_010_头像.png","11 个玩家角色头像，只用于角色选择、角色卡和当前角色头像。","confirmed"
"25-character-avatars","011","柯布西耶继承者","pxui_role_011","UIATLAS_005","asset-work/ui-icon-final/confirmed-icons/25-character-avatars/011_柯布西耶继承者__UIATLAS_005_011_pxui_role_011_头像.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_005_角色与老师头像/UIATLAS_005_011_pxui_role_011_头像.png","11 个玩家角色头像，只用于角色选择、角色卡和当前角色头像。","confirmed"
"26-mentor-avatars","012","王老师_景观实践大师","pxui_role_012","UIATLAS_005","asset-work/ui-icon-final/confirmed-icons/26-mentor-avatars/012_王老师_景观实践大师__UIATLAS_005_012_pxui_role_012_头像.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_005_角色与老师头像/UIATLAS_005_012_pxui_role_012_头像.png","7 位导师头像，只用于导师选择和导师卡。","confirmed"
"26-mentor-avatars","013","戈老师_高级学院派","pxui_role_013","UIATLAS_005","asset-work/ui-icon-final/confirmed-icons/26-mentor-avatars/013_戈老师_高级学院派__UIATLAS_005_013_pxui_role_013_书.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_005_角色与老师头像/UIATLAS_005_013_pxui_role_013_书.png","7 位导师头像，只用于导师选择和导师卡。","confirmed"
"26-mentor-avatars","014","林老师_高压审美者","pxui_role_014","UIATLAS_005","asset-work/ui-icon-final/confirmed-icons/26-mentor-avatars/014_林老师_高压审美者__UIATLAS_005_014_pxui_role_014_头像.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_005_角色与老师头像/UIATLAS_005_014_pxui_role_014_头像.png","7 位导师头像，只用于导师选择和导师卡。","confirmed"
"26-mentor-avatars","015","陈老师_理想主义者","pxui_role_015","UIATLAS_005","asset-work/ui-icon-final/confirmed-icons/26-mentor-avatars/015_陈老师_理想主义者__UIATLAS_005_015_pxui_role_015_头像.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_005_角色与老师头像/UIATLAS_005_015_pxui_role_015_头像.png","7 位导师头像，只用于导师选择和导师卡。","confirmed"
"26-mentor-avatars","016","周老师_软件技术大神","pxui_role_016","UIATLAS_005","asset-work/ui-icon-final/confirmed-icons/26-mentor-avatars/016_周老师_软件技术大神__UIATLAS_005_016_pxui_role_016_头像.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_005_角色与老师头像/UIATLAS_005_016_pxui_role_016_头像.png","7 位导师头像，只用于导师选择和导师卡。","confirmed"
"26-mentor-avatars","017","许老师_佛系放养家","pxui_role_017","UIATLAS_005","asset-work/ui-icon-final/confirmed-icons/26-mentor-avatars/017_许老师_佛系放养家__UIATLAS_005_017_pxui_role_017_头像.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_005_角色与老师头像/UIATLAS_005_017_pxui_role_017_头像.png","7 位导师头像，只用于导师选择和导师卡。","confirmed"
"26-mentor-avatars","018","韩老师_竞赛压力怪","pxui_role_018","UIATLAS_005","asset-work/ui-icon-final/confirmed-icons/26-mentor-avatars/018_韩老师_竞赛压力怪__UIATLAS_005_018_pxui_role_018_奖杯.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_005_角色与老师头像/UIATLAS_005_018_pxui_role_018_奖杯.png","7 位导师头像，只用于导师选择和导师卡。","confirmed"
"27-mentor-stage-tasks","001","走向实践","pxui_role_019","UIATLAS_006","asset-work/ui-icon-final/confirmed-icons/27-mentor-stage-tasks/001_走向实践__UIATLAS_006_001_pxui_role_019_合同.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_006_导师阶段任务/UIATLAS_006_001_pxui_role_019_合同.png","7 个导师阶段任务图标，对应导师任务完成/未完成反馈。","confirmed"
"27-mentor-stage-tasks","002","理论支撑","pxui_role_020","UIATLAS_006","asset-work/ui-icon-final/confirmed-icons/27-mentor-stage-tasks/002_理论支撑__UIATLAS_006_002_pxui_role_020_书.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_006_导师阶段任务/UIATLAS_006_002_pxui_role_020_书.png","7 个导师阶段任务图标，对应导师任务完成/未完成反馈。","confirmed"
"27-mentor-stage-tasks","003","磨到能看","pxui_role_021","UIATLAS_006","asset-work/ui-icon-final/confirmed-icons/27-mentor-stage-tasks/003_磨到能看__UIATLAS_006_003_pxui_role_021_图纸.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_006_导师阶段任务/UIATLAS_006_003_pxui_role_021_图纸.png","7 个导师阶段任务图标，对应导师任务完成/未完成反馈。","confirmed"
"27-mentor-stage-tasks","004","以人为本","pxui_role_022","UIATLAS_006","asset-work/ui-icon-final/confirmed-icons/27-mentor-stage-tasks/004_以人为本__UIATLAS_006_004_pxui_role_022_人形尺.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_006_导师阶段任务/UIATLAS_006_004_pxui_role_022_人形尺.png","7 个导师阶段任务图标，对应导师任务完成/未完成反馈。","confirmed"
"27-mentor-stage-tasks","005","技术爆炸","pxui_role_023","UIATLAS_006","asset-work/ui-icon-final/confirmed-icons/27-mentor-stage-tasks/005_技术爆炸__UIATLAS_006_005_pxui_role_023_齿轮.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_006_导师阶段任务/UIATLAS_006_005_pxui_role_023_齿轮.png","7 个导师阶段任务图标，对应导师任务完成/未完成反馈。","confirmed"
"27-mentor-stage-tasks","006","稳住节奏","pxui_role_024","UIATLAS_006","asset-work/ui-icon-final/confirmed-icons/27-mentor-stage-tasks/006_稳住节奏__UIATLAS_006_006_pxui_role_024_节拍器.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_006_导师阶段任务/UIATLAS_006_006_pxui_role_024_节拍器.png","7 个导师阶段任务图标，对应导师任务完成/未完成反馈。","confirmed"
"27-mentor-stage-tasks","007","竞赛狂魔","pxui_role_025","UIATLAS_006","asset-work/ui-icon-final/confirmed-icons/27-mentor-stage-tasks/007_竞赛狂魔__UIATLAS_006_007_pxui_role_025_奖杯.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_006_导师阶段任务/UIATLAS_006_007_pxui_role_025_奖杯.png","7 个导师阶段任务图标，对应导师任务完成/未完成反馈。","confirmed"
"28-course-icons","001","建筑史论","pxui_role_026","UIATLAS_007","asset-work/ui-icon-final/confirmed-icons/28-course-icons/001_建筑史论__UIATLAS_007_001_pxui_role_026_书.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_007_课程图标/UIATLAS_007_001_pxui_role_026_书.png","10 门大学课程选择与课程题图标。","confirmed"
"28-course-icons","002","建筑构造","pxui_role_027","UIATLAS_007","asset-work/ui-icon-final/confirmed-icons/28-course-icons/002_建筑构造__UIATLAS_007_002_pxui_role_027_墙身剖.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_007_课程图标/UIATLAS_007_002_pxui_role_027_墙身剖.png","10 门大学课程选择与课程题图标。","confirmed"
"28-course-icons","003","数字规划","pxui_role_028","UIATLAS_007","asset-work/ui-icon-final/confirmed-icons/28-course-icons/003_数字规划__UIATLAS_007_003_pxui_role_028_网格地.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_007_课程图标/UIATLAS_007_003_pxui_role_028_网格地.png","10 门大学课程选择与课程题图标。","confirmed"
"28-course-icons","004","计算机辅助设计","pxui_role_029","UIATLAS_007","asset-work/ui-icon-final/confirmed-icons/28-course-icons/004_计算机辅助设计__UIATLAS_007_004_pxui_role_029_制图软.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_007_课程图标/UIATLAS_007_004_pxui_role_029_制图软.png","10 门大学课程选择与课程题图标。","confirmed"
"28-course-icons","005","建筑力学","pxui_role_030","UIATLAS_007","asset-work/ui-icon-final/confirmed-icons/28-course-icons/005_建筑力学__UIATLAS_007_005_pxui_role_030_箭头.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_007_课程图标/UIATLAS_007_005_pxui_role_030_箭头.png","10 门大学课程选择与课程题图标。","confirmed"
"28-course-icons","006","建筑表现基础","pxui_role_031","UIATLAS_007","asset-work/ui-icon-final/confirmed-icons/28-course-icons/006_建筑表现基础__UIATLAS_007_006_pxui_role_031_画笔.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_007_课程图标/UIATLAS_007_006_pxui_role_031_画笔.png","10 门大学课程选择与课程题图标。","confirmed"
"28-course-icons","007","建筑制图","pxui_role_032","UIATLAS_007","asset-work/ui-icon-final/confirmed-icons/28-course-icons/007_建筑制图__UIATLAS_007_007_pxui_role_032_丁字尺.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_007_课程图标/UIATLAS_007_007_pxui_role_032_丁字尺.png","10 门大学课程选择与课程题图标。","confirmed"
"28-course-icons","008","表达与汇报","pxui_role_033","UIATLAS_007","asset-work/ui-icon-final/confirmed-icons/28-course-icons/008_表达与汇报__UIATLAS_007_008_pxui_role_033_麦克风.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_007_课程图标/UIATLAS_007_008_pxui_role_033_麦克风.png","10 门大学课程选择与课程题图标。","confirmed"
"28-course-icons","009","建筑美学","pxui_role_034","UIATLAS_007","asset-work/ui-icon-final/confirmed-icons/28-course-icons/009_建筑美学__UIATLAS_007_009_pxui_role_034_构图框.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_007_课程图标/UIATLAS_007_009_pxui_role_034_构图框.png","10 门大学课程选择与课程题图标。","confirmed"
"28-course-icons","010","园林史论","pxui_role_035","UIATLAS_007","asset-work/ui-icon-final/confirmed-icons/28-course-icons/010_园林史论__UIATLAS_007_010_pxui_role_035_园林窗.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_007_课程图标/UIATLAS_007_010_pxui_role_035_园林窗.png","10 门大学课程选择与课程题图标。","confirmed"
"29-competition-events","001","校园角落更新","pxui_competition_001","UIATLAS_010","asset-work/ui-icon-final/confirmed-icons/29-competition-events/001_校园角落更新__UIATLAS_010_001_pxui_competition_001_图纸.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_010_竞赛投稿图标/UIATLAS_010_001_pxui_competition_001_图纸.png","竞赛投稿界面的赛事卡图标。","confirmed"
"29-competition-events","002","老街区微更新","pxui_competition_002","UIATLAS_010","asset-work/ui-icon-final/confirmed-icons/29-competition-events/002_老街区微更新__UIATLAS_010_002_pxui_competition_002_模型.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_010_竞赛投稿图标/UIATLAS_010_002_pxui_competition_002_模型.png","竞赛投稿界面的赛事卡图标。","confirmed"
"29-competition-events","003","绿色建筑概念","pxui_competition_003","UIATLAS_010","asset-work/ui-icon-final/confirmed-icons/29-competition-events/003_绿色建筑概念__UIATLAS_010_003_pxui_competition_003_绿色建.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_010_竞赛投稿图标/UIATLAS_010_003_pxui_competition_003_绿色建.png","竞赛投稿界面的赛事卡图标。","confirmed"
"29-competition-events","004","公共空间提案","pxui_competition_004","UIATLAS_010","asset-work/ui-icon-final/confirmed-icons/29-competition-events/004_公共空间提案__UIATLAS_010_004_pxui_competition_004_青年建.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_010_竞赛投稿图标/UIATLAS_010_004_pxui_competition_004_青年建.png","竞赛投稿界面的赛事卡图标。","confirmed"
"30-competition-submit-states","005","可投稿","pxui_competition_005","UIATLAS_010","asset-work/ui-icon-final/confirmed-icons/30-competition-submit-states/005_可投稿__UIATLAS_010_005_pxui_competition_005_上箭.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_010_竞赛投稿图标/UIATLAS_010_005_pxui_competition_005_上箭.png","竞赛投稿按钮状态：可投稿 / 未达门槛。","confirmed"
"30-competition-submit-states","006","未达门槛","pxui_competition_006","UIATLAS_010","asset-work/ui-icon-final/confirmed-icons/30-competition-submit-states/006_未达门槛__UIATLAS_010_006_pxui_competition_006_入围名.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_010_竞赛投稿图标/UIATLAS_010_006_pxui_competition_006_入围名.png","竞赛投稿按钮状态：可投稿 / 未达门槛。","confirmed"
